date&time,chat_ID,Chat_Transcript,NPS score,chat_Reason_CWC,M1,M2,M3,Segment,Lang,HandledAgentlogin,HandledAgentsite
2025-06-01 10:01:00,CHAT001,"I'm very upset with the delay. This is unacceptable and I'm thinking to cancel.",4,Delay,Shipping,Delivery,Policy,Consumer,en,agent1,SiteA
2025-06-01 10:05:00,CHAT002,"Thanks for the quick help! Everything works perfectly now.",10,Support,Tech,Resolution,Followup,Consumer,en,agent2,SiteA
2025-06-02 09:20:00,CHAT003,"It was okay, but I had to wait on hold for a bit.",7,Wait,Support,Queue,Time,SMB,en,agent3,SiteB
2025-06-03 14:45:00,CHAT004,"This is the worst experience. No one is helpful. I want a refund.",2,Refund,Support,Policy,Escalation,Enterprise,en,agent4,SiteB
2025-06-04 11:12:00,CHAT005,"Appreciate your patience. The issue is resolved and I'm happy now!",9,Resolution,Tech,Fix,Update,Consumer,en,agent2,SiteA
2025-06-05 15:30:00,CHAT006,"Not great, the product was broken and support was slow.",5,Quality,Product,Support,Delay,SMB,en,agent5,SiteC
2025-06-06 16:10:00,CHAT007,"Amazing service, very courteous and fast.",9,Service,Support,Speed,Manners,Consumer,en,agent6,SiteC
2025-06-07 18:22:00,CHAT008,"I feel ignored. Why is this taking so long?",3,Delay,Support,Queue,Time,Consumer,en,agent1,SiteA
2025-06-08 12:00:00,CHAT009,"It's fine now, thanks for resolving it.",8,Resolution,Tech,Fix,Followup,SMB,en,agent3,SiteB
2025-06-09 13:33:00,CHAT010,"Terrible service. I'm leaving for a competitor.",1,Churn,Service,Competitor,Escalation,Consumer,en,agent7,SiteD
2025-06-10 09:15:00,CHAT011,"I'm extremely frustrated with this broken product. It's been weeks!",1,Quality,Product,Defect,Escalation,Consumer,en,agent8,SiteA
2025-06-11 14:22:00,CHAT012,"Outstanding customer service! You went above and beyond.",10,Service,Support,Excellence,Praise,Enterprise,en,agent9,SiteB
2025-06-12 11:45:00,CHAT013,"The refund process is taking forever. This is ridiculous.",3,Refund,Finance,Delay,Escalation,SMB,en,agent10,SiteC
2025-06-13 16:30:00,CHAT014,"Great experience overall, minor hiccup but resolved quickly.",8,Resolution,Tech,Fix,Followup,Consumer,en,agent11,SiteA
2025-06-14 10:18:00,CHAT015,"I'm so angry right now. Nothing works as promised.",2,Quality,Product,Defect,Escalation,Enterprise,en,agent12,SiteB
2025-06-15 13:55:00,CHAT016,"Perfect! Exactly what I needed. Thank you so much.",10,Support,Tech,Resolution,Praise,Consumer,en,agent13,SiteC
2025-06-16 15:42:00,CHAT017,"The delivery was late again. This is becoming a pattern.",4,Delay,Shipping,Delivery,Policy,SMB,en,agent14,SiteA
2025-06-17 12:08:00,CHAT018,"I'm not happy with the quality. Expected better.",5,Quality,Product,Defect,Feedback,Consumer,en,agent15,SiteB
2025-06-18 17:25:00,CHAT019,"Excellent support team! Very professional and helpful.",9,Service,Support,Excellence,Praise,Enterprise,en,agent16,SiteC
2025-06-19 09:33:00,CHAT020,"This is the worst company I've ever dealt with.",1,Service,Support,Policy,Escalation,Consumer,en,agent17,SiteA
2025-06-20 14:15:00,CHAT021,"Good service, but could be faster.",7,Service,Support,Speed,Feedback,SMB,en,agent18,SiteB
2025-06-21 11:40:00,CHAT022,"I'm very disappointed. The product doesn't work at all.",2,Quality,Product,Defect,Escalation,Consumer,en,agent19,SiteC
2025-06-22 16:20:00,CHAT023,"Fantastic! Everything was perfect from start to finish.",10,Service,Support,Excellence,Praise,Enterprise,en,agent20,SiteA
2025-06-23 13:12:00,CHAT024,"The wait time was too long, but the agent was helpful.",6,Wait,Support,Queue,Time,SMB,en,agent21,SiteB
2025-06-24 10:55:00,CHAT025,"I'm furious! This is completely unacceptable.",1,Service,Support,Policy,Escalation,Consumer,en,agent22,SiteC
2025-06-25 15:30:00,CHAT026,"Great product, excellent customer service.",9,Service,Support,Excellence,Praise,Enterprise,en,agent23,SiteA
2025-06-26 12:45:00,CHAT027,"The refund is taking too long. I need my money back now.",3,Refund,Finance,Delay,Escalation,SMB,en,agent24,SiteB
2025-06-27 14:18:00,CHAT028,"Very satisfied with the resolution. Thank you!",8,Resolution,Tech,Fix,Followup,Consumer,en,agent25,SiteC
2025-06-28 09:25:00,CHAT029,"This is absolutely terrible. I want to speak to a manager.",2,Service,Support,Escalation,Escalation,Enterprise,en,agent26,SiteA
2025-06-29 16:40:00,CHAT030,"Outstanding! Best customer service I've ever experienced.",10,Service,Support,Excellence,Praise,Consumer,en,agent27,SiteB
2025-06-30 11:30:00,CHAT031,"The product is okay, but the support could be better.",6,Quality,Product,Support,Feedback,SMB,en,agent28,SiteC
2025-07-01 13:15:00,CHAT032,"I'm extremely disappointed. Nothing works properly.",2,Quality,Product,Defect,Escalation,Enterprise,en,agent29,SiteA
2025-07-02 10:45:00,CHAT033,"Excellent service! Quick resolution and very professional.",9,Service,Support,Speed,Praise,Consumer,en,agent30,SiteB
2025-07-03 15:20:00,CHAT034,"The delay is unacceptable. I'm considering alternatives.",4,Delay,Shipping,Delivery,Policy,SMB,en,agent31,SiteC
2025-07-04 12:10:00,CHAT035,"Perfect experience! Highly recommend this company.",10,Service,Support,Excellence,Praise,Enterprise,en,agent32,SiteA
2025-07-05 14:35:00,CHAT036,"I'm not happy with the quality. Expected much better.",5,Quality,Product,Defect,Feedback,Consumer,en,agent33,SiteB
2025-07-06 09:50:00,CHAT037,"The support team was amazing! Very helpful and patient.",9,Service,Support,Excellence,Praise,SMB,en,agent34,SiteC
2025-07-07 16:15:00,CHAT038,"This is ridiculous. I've been waiting for weeks.",3,Delay,Support,Queue,Time,Escalation,Enterprise,en,agent35,SiteA
2025-07-08 11:25:00,CHAT039,"Great product! The support team was very responsive.",8,Service,Support,Speed,Praise,Consumer,en,agent36,SiteB
2025-07-09 13:40:00,CHAT040,"I'm so frustrated. Nothing is working as it should.",2,Quality,Product,Defect,Escalation,SMB,en,agent37,SiteC
2025-07-10 10:30:00,CHAT041,"Outstanding! Everything exceeded my expectations.",10,Service,Support,Excellence,Praise,Enterprise,en,agent38,SiteA
2025-07-11 15:45:00,CHAT042,"The refund process is too complicated. I'm giving up.",4,Refund,Finance,Policy,Escalation,Consumer,en,agent39,SiteB
2025-07-12 12:20:00,CHAT043,"Good service overall, minor issues but resolved quickly.",7,Service,Support,Resolution,Followup,SMB,en,agent40,SiteC
2025-07-13 14:55:00,CHAT044,"I'm extremely angry. This is the worst experience ever.",1,Service,Support,Policy,Escalation,Enterprise,en,agent41,SiteA
2025-07-14 09:35:00,CHAT045,"Excellent! The team was very professional and helpful.",9,Service,Support,Excellence,Praise,Consumer,en,agent42,SiteB
2025-07-15 16:10:00,CHAT046,"The product is fine, but the delivery was late.",6,Delay,Shipping,Delivery,Policy,SMB,en,agent43,SiteC
2025-07-16 11:50:00,CHAT047,"Perfect! Everything was handled perfectly.",10,Service,Support,Excellence,Praise,Enterprise,en,agent44,SiteA
2025-07-17 13:25:00,CHAT048,"I'm not satisfied with the quality. Expected better.",5,Quality,Product,Defect,Feedback,Consumer,en,agent45,SiteB
2025-07-18 15:40:00,CHAT049,"Great support team! Very knowledgeable and helpful.",8,Service,Support,Excellence,Praise,SMB,en,agent46,SiteC
2025-07-19 10:15:00,CHAT050,"This is terrible. I want my money back immediately.",2,Refund,Finance,Policy,Escalation,Enterprise,en,agent47,SiteA